n,mean_HOP,std_HOP,lower,passes,optimised
2,0.7835,0.0411858895739791,0.7011282208520417,True,False
3,0.7042,0.04564015337397542,0.6129196932520492,False,False
4,0.8062,0.03952740315274961,0.7271451936945008,True,False
5,0.8130000000000002,0.03899115284266418,0.7350176943146718,True,False
6,0.7888999999999998,0.04080891936819696,0.7072821612636059,True,False
7,0.7849,0.04108917010600238,0.7027216597879953,True,False
8,0.7432999999999998,0.04368124425883494,0.6559375114823299,False,False
9,0.7275999999999999,0.04451946091317819,0.6385610781736435,False,False
10,0.6832000000000003,0.046522871794419565,0.5901542564111611,False,False
2,0.7888999999999998,0.04080891936819696,0.7072821612636059,True,True
3,0.7032,0.045684763324329476,0.6118304733513411,False,True
4,0.8117,0.039095154431207965,0.733509691137584,True,True
5,0.8233000000000001,0.03814146169196979,0.7470170766160605,True,True
6,0.7991999999999999,0.040059875187024745,0.7190802496259504,True,True
7,0.7959,0.040304241712256536,0.715291516575487,True,True
8,0.7564000000000002,0.042925405065066057,0.6705491898698681,True,True
9,0.7486999999999999,0.04337606598113757,0.6619478680377248,False,True
10,0.7088,0.04543154850981859,0.6179369029803627,False,True
